Age,Gender,Job,Education,Martial Status,Messege
20-25,Male,Student ,BS CS,Single,"Elaka,zama da kar  d sa okra,aw kna,bas preda e,da wena,bal me saz ko,Khan Akhtar de Mubarak sha,hhhhhhhhhh,Sta de Mubarak sha"
20-25,Female,Student ,BS Bio,Single,"Aoa bhai,Bhai pesi send kol de taso ba send kai,Za ba clg ki la wrkm bia,Kha tek da,Ze Che kala Dukan ta larshm bia ba wrta okm,Sahi da bia mta msg okai za ba drta nmbr send km"
30-40,Male,null,BS,Married ,"Saylani Mass IT Training Program Peshawar,Get Ready for Your Entrance Exam,Sunday, December 17th, 2023, at 10:00 AM, Please be present at ,Qayoom Stadium, Main"
25-30,Male,Student ,BS,Single,"Kindly ensure you bring the following items,Admit Card"
